Time (s),Along_wind_pr_coef,Cross_wind_pr_coef,Force_along_wind,Force_cross_wind
0.0,41.90602,-74.7581,0.0397190413478898,-0.07085664736858657
0.08,42.875366,-72.51901,0.040637798528670055,-0.06873441040690294
0.16,41.8427,-75.019966,0.039659025722865116,-0.07110484500672407
0.24,43.013474,-72.78487,0.04076869832313921,-0.06898638998032422
0.32,44.932568,-74.01798,0.042587639260652975,-0.07015515260769505
0.4,40.57973,-79.86131,0.038461967277587016,-0.0756935328907877
0.48,44.39753,-76.494804,0.04208052368025136,-0.07250271481496805
0.56,46.233006,-73.61457,0.04382021029518299,-0.06977279388863908
0.64,41.6923,-78.463745,0.03951647279510753,-0.07436890101859407
0.72,42.994686,-77.178696,0.04075089140987656,-0.07315091538266336
0.8,42.722466,-77.96062,0.040492877371838966,-0.07389203007361214
0.88,43.511875,-76.73091,0.041241089518774456,-0.07272649980775542
0.96,44.876984,-75.88205,0.04253495610671391,-0.07192193827133804
1.04,44.25487,-77.77035,0.041945310454813194,-0.0737116903335687
1.12,44.543667,-79.07217,0.0422190343483079,-0.07494557022141873
1.2,47.01633,-78.2881,0.044562655533153216,-0.0742024235537687
1.28,42.432,-84.93318,0.040217569838139386,-0.08050071250448815
1.36,48.674446,-80.11234,0.046134237655651715,-0.07593146217691182
1.44,52.65137,-78.22137,0.04990361590193793,-0.07413917195161306
1.52,49.002823,-83.32715,0.046445477190164314,-0.0789784943996089
1.6,53.118217,-80.429634,0.050346098714525764,-0.07623219472869522
1.68,53.815212,-80.97471,0.0510067189262936,-0.07674882299717685
1.76,52.71106,-83.46269,0.04996018945966798,-0.07910696449951717
1.84,53.841934,-82.9678,0.05103204632272097,-0.07863789605581863
1.92,55.500946,-82.77719,0.05260447811519241,-0.07845723814148745
2.0,55.159706,-84.40889,0.05228104672047238,-0.08000378211691107
2.08,58.383812,-83.02748,0.0553368938171866,-0.07869446599793177
2.16,56.27467,-86.34004,0.05333782284540995,-0.08183415201946509
2.24,62.3026,-81.84695,0.05905117006182354,-0.07757554103399492
2.32,65.41091,-79.41882,0.06199726510735249,-0.07527413579214544
2.4,60.2254,-84.58109,0.05708237265040184,-0.08016699829528713
2.48,61.882885,-81.35317,0.05865335819611083,-0.07710753558166679
2.56,61.600933,-81.264885,0.0583861207193457,-0.07702385574399156
2.64,60.84307,-81.6368,0.05766780972422383,-0.07737636392987059
2.72,60.11937,-82.510635,0.05698187657849624,-0.07820459329455542
2.8000000000000003,60.229725,-82.66687,0.05708647275997337,-0.07835267450056246
2.88,57.00838,-85.5027,0.05403324336989918,-0.08104050964610421
2.96,59.230537,-83.15768,0.056139430608136545,-0.07881786700293764
3.04,55.60646,-88.63546,0.05270448607881568,-0.08400977718038447
3.12,60.187176,-84.88926,0.05704614416900251,-0.0804590822914311
3.2,59.369213,-86.370316,0.05627086912952471,-0.08186284555523206
3.2800000000000002,57.303856,-88.82171,0.054313298208596504,-0.08418630606020884
3.36,60.3913,-86.252235,0.05723961582964898,-0.08175092774952002
3.44,61.55633,-84.975555,0.05834384692647936,-0.08054087477708134
3.52,54.556664,-91.09205,0.051709475537485367,-0.08633816215558741
3.6,54.549397,-88.62079,0.05170258778727921,-0.08399587151776353
3.68,51.520008,-89.8303,0.04883129623992096,-0.08514226070771926
3.7600000000000002,51.97071,-88.24033,0.04925847776176209,-0.0836352715812486
3.84,53.77432,-86.2411,0.05096795951306,-0.08174037014815416
3.92,52.084087,-87.66122,0.049365937511828877,-0.08308637754749676
4.0,54.528732,-84.33014,0.05168300199049875,-0.07992914132150114
4.08,55.540745,-82.24815,0.05264219984637396,-0.07795580992647916
4.16,50.373665,-86.77555,0.04774477805031366,-0.08224693253916915
4.24,53.099873,-81.63073,0.05032871121282423,-0.07737060786775606
4.32,53.48123,-79.421745,0.05069016805054593,-0.07527690535469553
4.4,48.49175,-82.922775,0.04596107491516693,-0.0785952245450926
4.48,51.176487,-79.07991,0.04850570270629107,-0.07495290992373815
4.5600000000000005,52.180576,-77.052155,0.049457390925852274,-0.07303097813865356
4.64,51.613625,-77.0837,0.04892002709441405,-0.07306087929046716
4.72,53.73778,-75.17875,0.05093332913433319,-0.07125534144482437
4.8,53.619297,-76.58191,0.050821028073229114,-0.07258527381140237
4.88,55.04201,-74.87545,0.05216949409206787,-0.07096787097585261
4.96,54.129414,-75.73123,0.051304522828383055,-0.07177899124133769
5.04,50.583794,-78.4723,0.04794394069197036,-0.0743770072316976
5.12,54.54645,-74.17412,0.05169979653102768,-0.0703031398076625
5.2,55.666542,-72.67851,0.05276143204508706,-0.06888558658098162
5.28,49.22306,-77.43561,0.04665422121662223,-0.0733944199500567
5.36,51.378574,-73.03262,0.04869724362750967,-0.06922121706714289
5.44,51.906242,-71.64149,0.04919737383604867,-0.06790268112505299
5.5200000000000005,48.16718,-74.138855,0.04565344376632664,-0.07026971704498236
5.6000000000000005,48.691875,-73.03515,0.04615075740929578,-0.06922361060553475
5.68,48.893883,-72.49625,0.04634222240255935,-0.06871283240520723
5.76,51.379078,-70.72815,0.04869772088894128,-0.06703700843168839
5.84,53.42739,-69.37653,0.05063913723353294,-0.06575593028074588
5.92,48.84521,-74.03396,0.04629609074645417,-0.07017029481129787
6.0,51.54722,-70.48835,0.04885708643531231,-0.06680972352173589
6.08,54.01941,-68.818985,0.05120025928366129,-0.06522747894498125
6.16,49.651325,-73.86512,0.04706013567982156,-0.07001026760703301
6.24,53.19341,-70.23696,0.05041736613936229,-0.0665714543676226
6.32,56.216885,-68.19964,0.05328305348051605,-0.06464045461533748
6.4,54.055492,-71.12816,0.05123445940397627,-0.06741614202046409
6.48,56.552418,-68.93477,0.053601075912344524,-0.06533722014931578
6.5600000000000005,55.639713,-70.52552,0.05273600341138633,-0.06684495409286913
6.640000000000001,56.00383,-70.50775,0.05308111766069235,-0.06682811254932042
6.72,57.331516,-68.316246,0.05433951504678278,-0.06475097679292373
6.8,55.41431,-70.21018,0.05252236383963753,-0.06654607273694164
6.88,55.463963,-68.91959,0.05256942470928758,-0.06532283722526323
6.96,59.309288,-65.25162,0.05621407140354648,-0.06184628417658675
7.04,54.131424,-70.90146,0.051306428258492576,-0.06720127313896722
7.12,59.07183,-65.42494,0.055989006482374336,-0.0620105633463332
7.2,60.210022,-64.86251,0.05706779809865326,-0.06147748402092873
7.28,55.769478,-69.43352,0.0528589958516818,-0.06580994036608949
7.36,58.097687,-67.35568,0.05506570085552618,-0.06384054276226137
7.44,58.19473,-68.77537,0.05515767853400096,-0.06518613798127666
7.5200000000000005,58.6141,-69.13789,0.05555516499419213,-0.06552974451833284
7.6000000000000005,60.564884,-68.3643,0.05740414086134505,-0.06479652633470702
7.68,60.253387,-70.542076,0.05710890043164203,-0.06686064587024168
7.76,60.756958,-70.45699,0.05758619078818508,-0.0667800031507676
7.84,63.893543,-69.15481,0.06055908478622219,-0.06554577616369457
7.92,60.111744,-74.72379,0.0569746489603009,-0.07082412851013294
8.0,65.3102,-69.72219,0.06190181282103094,-0.06608354855984319
8.08,66.19456,-68.50572,0.06274001405714284,-0.06493056448465069
